Insee.Com;Nom.Com;POPULATION;densitePopCommune
86280;VELLECHES;403;0.206032719836401
70074;BLONDEFONTAINE;269;0.201498127340824
45281;SAINT-HILAIRE-LES-ANDRESIS;935;0.36353032659409
39234;FOULENAY;81;0.192857142857143
39546;VAUDREY;394;0.218645948945616
95203;EAUBONNE;24606;56.0501138952164
25204;DOUBS;2728;3.0548712206047
42105;GREZIEUX-LE-FROMENTAL;163;0.156429942418426
9104;DALOU;745;0.958815958815959
81019;ASSAC;150;0.0986842105263158
11169;GREFFEIL;84;0.0589887640449438
17109;CLAVETTE;1306;2.06973058637084
88174;FOMEREY;150;0.293542074363992
21593;SAVILLY;79;0.0947242206235012
10233;MERY-SUR-SEINE;1464;1.17495987158908
80120;BOUILLANCOURT-EN-SERY;570;0.350338045482483
31416;PEYSSIES;544;0.848673946957878
89079;CHAMVRES;675;1.20535714285714
62745;SAINT-DENOEUX;152;0.373464373464373
80572;MORLANCOURT;368;0.308466051969824
95566;SAINT-MARTIN-DU-TERTRE;2688;2.28960817717206
70338;MELINCOURT;241;0.161744966442953
49041;BRAIN-SUR-ALLONNES;1987;0.592603638532657
10424;VILLERET;66;0.201834862385321
35351;LE VERGER;1464;2.06197183098592
40216;OZOURT;205;0.493975903614458
24122;CLADECH;93;0.166666666666667
70291;JONVELLE;137;0.1096
46191;MERCUES;1020;1.41470180305132
49304;SAINT-MARTIN-DE-LA-PLACE;1152;0.776280323450135
22216;PLOUGONVER;737;0.202472527472527
16178;LAGARDE-SUR-LE-NE;168;0.406779661016949
89394;SERY;106;0.245939675174014
31150;CORNEBARRIEU;5930;3.14755838641189
30301;SAINT-VICTOR-DES-OULES;304;0.637316561844864
3299;VARENNES-SUR-TECHE;257;0.136556854410202
9052;BESSET;160;0.195121951219512
1366;SAINTE-JULIE;957;0.836538461538462
71079;CHAMPAGNAT;483;0.364253393665158
69051;CHAUSSAN;1024;1.29129886506936
85132;MAILLE;764;0.432126696832579
38149;DOMARIN;1488;4.96
11273;PARAZA;646;0.675732217573222
60079;BOISSY-FRESNOY;1041;0.649812734082397
2604;PITHON;70;0.285714285714286
24253;MAREUIL;1090;0.415713196033562
39517;SIROD;582;0.361940298507463
54427;PIERRE-PERCEE;97;0.0970970970970971
59384;MAROILLES;1417;0.640886476707372
55382;NEUVILLE-SUR-ORNAIN;357;0.304088586030664
38200;JARRIE;3798;2.85135135135135
12157;MONTROZIER;1518;0.320862396956246
86300;YVERSAY;403;0.673913043478261
89126;COURTOIN;44;0.0728476821192053
77409;SAINT-GERMAIN-LAVAL;2821;3.18757062146893
89424;TRUCY-SUR-YONNE;143;0.169833729216152
62203;CAMPAGNE-LES-GUINES;444;0.768166089965398
95656;VIENNE-EN-ARTHIES;432;1.13385826771654
46095;ESPERE;993;1.58373205741627
62574;MINGOVAL;229;0.584183673469388
57125;CHAILLY-LES-ENNERY;322;0.436906377204885
77432;SAINT-REMY-LA-VANNE;987;0.652777777777778
21117;BUSSEAUT;52;0.0489642184557439
71306;MONTCEAU-LES-MINES;18969;11.3518850987433
84106;SAINTE-CECILE-LES-VIGNES;2394;1.19401496259352
68110;GRUSSENHEIM;795;1.03921568627451
70208;ECHENOZ-LE-SEC;306;0.198443579766537
79293;SAINT-REMY;1035;0.758241758241758
